results_dir,model,mode,domain,experiment,callable,game_id,played,round_count,success,lose,aborted,main_score,quality_score,request_count,parsed_request_count,violated_request_count,parse_error_count,runtime_error_count,internal_consistency_score,internal_consistency_violations,turns_used,max_turns,efficiency_raw,tolerance_used,baseline_kind,n_test_cases_logged,instance_path,scores_path,experiment_path,interactions_path,n_test_cases,correct_guess,binary_accuracy,passed_test_cases,failed_test_cases,pass_rate,closeness_bucket,failure_reason,observed_pair_consistency,guess_turn,budget_used_ratio,remaining_turn_budget,guess_outcome,is_oneshot,is_interactive
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,absolute_value,5,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00005/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00005/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00005/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,add_one,11,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00011/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00011/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00011/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,clamp_to_0_9,17,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00017/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00017/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00017/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,is_even,23,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00023/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00023/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00023/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,numbers,numbers_passive_labeled_pairs_oneshot,sign_label,29,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00029/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00029/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/numbers_passive_labeled_pairs_oneshot/instance_00029/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,min_value,35,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00035/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00035/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00035/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,max_value,41,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00041/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00041/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00041/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,sum_two,47,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00047/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00047/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00047/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,abs_diff,53,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00053/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00053/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00053/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
function_detective__instance_passive_labeled_pairs_oneshot,Qwen3.6-35B-A3B-FP8,passive_labeled_pairs_oneshot,two_numbers,two_numbers_passive_labeled_pairs_oneshot,first_minus_second,59,True,1,False,True,False,0.0,0.0,1,0,1,1,0,0.0,0,0,1,0.0,0,oneshot,100,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00059/instance.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00059/scores.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/experiment.json,/Users/shahrukh/Documents/Shahrukh_Thesis/Alien-Abduction/results/function_detective__instance_passive_labeled_pairs_oneshot/function_detective/Qwen3.6-35B-A3B-FP8/passive_labeled_pairs_oneshot/two_numbers_passive_labeled_pairs_oneshot/instance_00059/interactions.json,100,False,0,0,100,0.0,failure,protocol_or_format_error,0.0,1,1.0,0,wrong,True,False
